,comment_text
271,"Fluss voller Plastikmüll! Traurig! Zum Nachdenken: Unser blauer Planet Erde steht mitten im Klimawandel! Mensch und Politik sollten den Klimawandel nicht unterschätzen. Auch die Kritikerinnen und Kritiker nicht, die alles in Frage stellen. Es wird Zeit wach zu werden! Auch die Politik auf den Philippinen sollte wach werden. "
272,Ich habe das gesehen man kann es nicht mehr säubern .Kein Fisch mehr drin .Warum baut man in der 3.welt nicht Mullsortieranlagen auf warum
273,Das Problem wird durch die neue europäische Verpackungssteuer gelöscht
274,Habt ihr das auch mal an die Grünen bzgl. Klimaschutz usw. weitergeleitet!?
275,Greta und Neubauer müssen da unbedingt hin
276,Sofort die Regenbogen raus holen. 🤣🤣🤣🤣 die Plastikfähnchen.
277,"Sicher sind letztlich ""wir"" wieder schuld."
278,"Hallo zusammen, bitte verzichten Sie auf beleidigende Kommentare und äußern sich sachlich zum Thema, Hasskommentare und Hetze haben hier nichts zu suchen und werden hier keinen Platz bekommen. Wir verstehen, dass es sich um ein emotionales Thema handelt. Wir appellieren jedoch an Sie: Bitte überlegen Sie es sich noch einmal, bevor Sie einen Kommentar absenden, ob Zynismus ein angebrachtes und sinnvolles Stilmittel in diesem Kontext ist."
279,"Bayerns Innenminister Joachim Herrmann (CSU) betont in Würzburg den ""großartigen Einsatz"" der Polizei und der Rettungskräfte. Er hoffe, dass die lebensgefährlic h Verletzten ""das überleben"". Hintergründe zum Attentäter würden aufgeklärt. https:// kurz.zdf.de/Jei/"
280,Die Passanten haben mit ihrem Mut weitere Opfer verhindert. Meine Gedanken sind bei den Verstorbenen und Verletzten sowie deren Angehörigen. Unfassbar so aus dem Nichts so brutal aus dem Leben gerissen zu werden.
281,"Der Täter war zuletzt schon ziemlich auffällig, ist zu lesen von den obersten Herrschaften. Das Gefühl habe ich bei vielen Politikern auch schon sehr lange. Eine Entschuldigung vom Innenminister klingt wie der blanke Hohn. Da können sich weder die Toten noch die Verletzten was für kaufen. Und wer weiß wie viele davon noch unter uns herumlaufen??."
282,"Wann wird die Rede von Frank - Walter Steinmeier übertragen, zum Gedenken an die Opfer."
283,"Das Motiv spielt doch keine Rolle, die Frage ist, warum ist der überhaupt noch hier …. Manchmal ist es besser die Dinge zu vereinfachen und nach Lösungen zu suchen …."
284,Warum darf jemand dessen Asylantrag abgelehnt wurde jahrelang freiherum laufen?
285,"Da kann man lange suchen, wenn die Politik nicht endlich handelt !!!  Auch hier hat die Politik wieder versagt, warum muss es erst soweit kommen: psychisch krank, Asyl abgelehnt, da hat man wohl die rechtzeitige Abschiebung versäumt, was leider Menschen, die sich dort aufhielten zum Verhängnis wurde😭"
286,"Ein sehr trauriger Vorfall, aber - leider - bei weitem kein Einzelfall mehr, sondern das Ergebnis jahrelanger falscher Einwanderungspo litik und mangelnder Integration."
287,Wenn man die ersten Videos verfolgt hat- solltet ihr euch bei den Bürger öffentlich für ihre Zivilcourage bedanken- sonst wäre Vermutlich sogar noch mehr passiert.! Ihr dürft euch gerne mal auch öffentlich hinter die Bürger und Polizei stellen.!! Nicht immer umgekehrt. 🤔 ♡♡Dankeschön und RESPEKT an alle die sich gegen ihn gestellt und gekämpft haben. 🌹♡♡ Mein Beileid 🕯🏵an die Familie und gute Besserung an die Verletzten.
288,Hier werden viele Leute keine Geschenke vom Weihnachtsmann bekommen.
289,In Halle wird die Synagoge täglich bewacht auf Grund so einer schrecklichen Tat ☝️ darf man jetzt davon ausgehen das alle Innenstädte permanent rund um die Uhr geschützt werden 🤔
290,"Mein herzliches Beileid an die Angehörigen des Opfers  es gibt hier nicht um eine Nationalität, auch nicht um eine Politik von Frau Merkel . Sondern um ein Verbrechen .  Es gibt gute und schlechte Menschen überall . Zb: was ist in Hanau passiert, ein Mann hatte einen 16 jährigen getötet, nachdem er nach 5 Monaten nach Deutschland angekommen ist. Der Täter war kein Somalier  Was ist in Chemnitz, Dessau und Dresden passiert, wo viele Ausländer getötet wurden . Warren immer die Ausländer ?  2016 in Hannover hat ein junger Mann mit psychischer Erkrankung viele Leute mit einem Messer verletzt. Das war kein Somalier .  Ich begründe nichts , Ich wiege auch Opfer einander nicht, es gibt überall gute und schlechte Menschen."
291,"Klar kann sowas passieren, aber es hätte nicht passieren müssen, wenn alle so ihren Job machen würden wie Politessen die Knölchen verteilen. Gut das er eine Maske getragen hat, hätte er dies nicht getan, wären Hundertschaften der Polizei binnen Sekunden vor Ort gewesen."
292,"Das schlimme ist ,das er keine Strafe bekommt..Es heißt dann psychisch gestört ,wird in eine Klinik gesteckt und kostet unser Geld..Was für eine Tragödie und Trauma es in den Menschen und Angehörigen hinterlässt ,die das miterlebt haben und die ihre Angehörigen verloren haben ,ist nicht zu beschreiben..Da s alles macht nur noch wütend und fassungslos.."
293,Die Menschen bezahlen jetzt für ein schönes buntes Deutschland...u nd eine kritikable Asylpolitik.
294,Traumatisiert. Heisst das Zauberwort. Der kommt jetzt in den Knast. Dann wird geschaut wie alt er ist und dann wird er nach Jugendrecht verurteilt. Das wars.
295,"Wen interessiert das Motiv? Ernsthaft! Da sind Menschen gestorben. Freitag Nachmittag mitten in der Stadt an einem Hauptknotenpunk t, an dem fast alle Haltestellen der öffentlichen Verkehrsmittel sind und quasi der Fußweg zum Hauptbahnhof für alle Pendler und Reisenden ist. Ich hätte mit meinen Kindern genauso dort sein können. Das Motiv interessiert mich n Dreck. Wieso rennt so einer mit einem Messer durch die Innenstadt und ist nicht in der geschlossenen?"
296,Der bayrische Ministerpräside nt sagte im Fernsehen man muss jetzt herausfinden wie so was geschehen konnte......fra ge zum mitdenken....St ell auf einer Dunkeln viel erfahrenen Autobahn eine Auto auf der Überholspur ab.....wenn da jetzt ein Unfall passiert....lag es am abgestellten auto oder muss man erst analysieren wie das geschehen konnte....Metap her zum denken
297,Das man auch immer daran erinnert wird: Wir schaffen das.
298,"Bei „psychisch auffällig“ braucht man nicht über Islamismus zu spekulieren. Ich würde eher danach fragen, warum der Täter trotz der Auffälligkeit aus der Psychiatrie entlassen wurde."
299,Wieder ein Einzelfall. Hauptsache die Regenbogenflagg e steht. Dieses Land geht immer mehr den Bach runter. Macht die Grenzen zu.
300,Bin gespannt wann der BP sich zum Vorfall melden wird und wo die ersten Konzerte stattfinden werden 🤔? Wo bleibt eigentlich die #ichbinhier Sekte mit ihren Kommentaren ?🤔
301,"Aus meiner Sicht, tragen verschiedene Akteuere der deutschen Politik eine politische Mitverantwortun g an diesen Taten oder liege ich da etwas falsch?"
302,An der Stelle sind die Gedanken bei den Betroffenen. ;(
303,"Dennys Bornhöft, ""aus dem Nichts"" ist leider nicht ganz richtig...vermu tlich abgelehnter Asylbewerber, polizeibekannt und psychisch auffällig, warum läuft sowas noch frei hier rum? Wie viele unschuldige Opfer muss es noch geben, bis in solchen Fällen konsequent gehandelt wird?"
304,Die mutigen Passanten sind Helden
305,Innenminister Herrmann sollte sich mal die Frage stellen wo er und seine Kollegen versagt haben. Sie tragen eine große Mitschuld an dem Ereignis.
306,"Ist man Rassist wenn man sagt ,schade das er nicht erschossen worden ist, ..Die Familien der Opfer und der Schwerverletzte n werden bestimmt so denken .."
307,"Ich fände es klasse, wenn die Nationalmannsch aft beim nächsten Spiel ein Zeichen für die Opfer des Anschlags setzen."
308,"Nur wenige Wochen vor dem Abzug der Bundeswehr droht die Lage in Afghanistan zu eskalieren. Die Taliban rücken vor, Milizen bringen sich gegen sie in Stellung. https:// kurz.zdf.de/uj8/"
309,Der Drogenhandel / Anbau muss weiter florieren.
310,Erst alles kaputt machen und dann im Stich lassen.
311,Mit dem Corona virus kommen wir klar aber mit der Taliban ist unvorstellbar!
312,"wenn die USA ""Hilfe anbieten"" muss einem Angst und Bange werden...."
313,Wie denn Herr Biden wollen sie helfen
314,Das kann er ja dann mit den Taliban aushandeln.....
315,USA ist dafür schuldig und muss auch wieder aufbauen .größte Verbrecher der Welt
316,"WIESO??? DAS SIND ALLES FÄSSER OHNE BODEN UND ES WERDEN MILLIARDEN INVESTIERT!!! ÜBERALL WO DIE AMIS UND DIE ANDEREN ABZOGEN, HAT ES SPÄTESTENS EIN JAHR SPÄTER WIEDER GEKNALLT !!!"
317,"Für mich ist Herr Biden eindeutig ein Gewinn.Er ist durch und durch ein fähiger Politiker.Er weiß,wie wichtig es ist,mit Herr Putin ins Gespräch zu kommen und er MACHT es auch.Die deutsche Noch -kanzlerin traute sich nicht.Aber möchte jetzt selbstverständl ich auch auf Putin zugehen.Sie sagt es aber nur.Jetzt,da es Biden vormachte.Sie ist so durchschaubar."
318,"kann man das mit den Hilfen vergleichen, die man beim Abzug aus Südvietnam zugesichert hat?"
319,US-Präsident Biden sichert Afghanistan auch nach dem Truppenabzug ... Genau wie Nixon 1974 Süd- Vietnam⁉️🤔
320,Leider ein Fass ohne Boden.
321,Bis die ankommen haben die Taliban das Land wieder im Griff.
322,"Das nützt nicht viel, wenn man die Bevölkerung jetzt der Rache der Taliban aussetzt !"
323,Die haben ja genug geklaut. Wollen jetzt 1% zurückgeben damit sie gut aussehen.
324,"Gute Sache, Corona-Impfunge n für Taliban 🥳"
325,"Ich vermisse Donald Trump, er war der beste Präsident bisher! Ich bin zuversichtlich, dass er wieder Präsident wird!"
326,Und die Deutschen mischen kräftig mit!Hätte es einen Volksentscheid über die Stationierung in Afghanistan gegeben wäre nie ein deutscher Soldat dort gewesen!Was hat es gebracht?Außer das viel Geld verschleudert wurde viel Leid!
327,HILFE🤣Waffenlieferung en oder🤔👆🤣war in der Vergangenheit ja so 👆
328,unter Biden geht im Verborgenen die illegale Besatzung und militärische Aktionen weiter! Private Söldnerfirmen nehmen zum Teil den Platz von klar erkennbaren Soldaten ein 😡 ...oder liege ich damit falsch!?
329,Haben die Taliban nicht schon 7 Bezirke überrannt ;-)
330,"Hilfe heißt doch weiter Unterdrückung dieses Landes , nichts andere heißt das !"
331,"Was nutzen Hilfen, wenn die Taliban, wie angekündigt alles zerschlagen ?"
332,"Wem will er das den geben der Opa, wenn alle raus sind ist die installierte Regierung in Kabul erledigt , wahrscheinlich sind die schnell weg als der letzte ausländische Soldat."
333,Will er jetzt jedem Afghanen 25 Dollar Soforthilfe schicken oder von welchen terroristischen Hilfen reden wir hier ?
334,Was von tyrannisierung und nach 20 Jahre von invasion nur Fiasko
335,20 Jahren für nichts......nur Toten auch Civilisten. USA halt
336,Die USA sichern den Taliban weitere Hilfe zu. Prima.
337,"Nachdem der Opiumanbau, die Ressourcen des Landes und die Regierung unter der kontrolle der USA sind kann man das Land verlassen und Hilfen sichern die ein Bruchteil der Ausbeutung des Landes sind. So funktioniert der US Kapitalismus und die angebliche Demokratisierun g der Welt!"
338,"Ein Bericht von Pentagon und US-Geheimdiensten liefert keinen Beweis für die Existenz von Ufos. Er kann aber auch nicht ausschließen, dass es sie gibt. https://kurz.zdf.de/MDYY/"
339,Das waren die USA doch alles selber um von etwas anderem abzulenken.
340,"Wer weiß, vielleicht sind wir die Außerirdischen, nur dass unsere Vorfahren die Erde „besetzt“ haben und wir davon nichts wissen…..es ist aber auch erstaunlich, inwieweit wir in kürzester Zeit eine hochentwickelte Technologie aufgebaut bekommen haben…..aber in Zeiten von Influencern entwickeln wir uns mindestens 2-3 Schritte zurück….."
341,"Na klar - die Ufos haben alle Warp-Antrieb - per Kernfusion.  Das sind ja ganz lange Strecken - zwischen den Planeten - die überbrückt werden müssen.   Wo die uns bekannte Physik sagt: Dazu braucht es so und so viel Energie ...   Und die Lichtgeschwindigkeit - ist sie zu überwinden? Weil - sonst sind Raumschiffe ""zu anderen Welten"" ""Generationenhäuser"" ... "
342,"Ich hoffe die Aliens lesen diese Kommentare hier, und drehen schnell wieder um, und kommen zu der Erkenntnis das es kein intelligentes Leben auf diesem Planeten gibt."
343,"Spätestens sei Sitchin die sumerischen Tontafeln erklärte, wissen wir, sie sind schon lange hier. Es ist an der Zeit dieses zu recherchieren und zu akzeptieren."
344,"Ganz im Ernst: vielleicht sind diese Flugobjekte (oder UFOs) auch außerirdischer Tourismus. Das soll jetzt keine Verarsche sein. Wir arbeiten auch am Weltraum Tourismus, und Flüge ins All soll es ja schon in einigen Jahren geben. Hätten wir die Technologie gäbe es auch Flüge zum Mond oder zum Mars (also in der Masse für Tourismus). Und könnten wir, würden wir genauso andere Planeten besuchen. Natürlich klingt das erstmal total bescheuert, aber man sollte mal darüber nachdenken das wir doch das selbe machen würden."
345,der werden schon wissen warum sie nicht landen...... die haben wohl rechtzeitig gemerkt wie Hochintelligent die Menschheit ist🤣🤣
346,Dieses Ergebnis hätte ich vor Jahren schon liefern können 😂 zu einem Schnäppchen Preis.... 2 Millionen vb
347,Die haben zu wenig zu tun .... haha
348,Unbekannte haben den Helikopter des kolumbianischen Präsidenten Duque beschossen. Die US-Regierung sowie Politiker des Landes verurteilen den Angriff. Die Einzelheiten: https:// kurz.zdf.de/ kNyg/
349,"Duque war gemeinsam mit Verteidigungsmi nister Diego Molano und Innenminister Daniel Palacios auf dem Weg von der Ortschaft Sardinata im Department Norte de Santander in die Stadt Cúcuta an der Grenze zu Venezuela, als der Hubschrauber von den Schüssen getroffen wurde. Alle Insassen blieben ersten Angaben zufolge unverletzt. Wer hinter dem Angriff steckt, war zunächst unklar. Erst in der vergangenen Woche war ein Bombenanschlag mit mehr als 30 Verletzten auf einen Militärstützpun kt in Cúcuta verübt worden. Die kolumbianische Regierung machte die Guerillaorganis ation ELN für den Anschlag verantwortlich. Die Rebellen wiesen die Vorwürfe zurück."
350,Die Wissen 100%tig wer dahinter steckt !! Das war sicher keiner mit einem Luftgewehr oder Rummelschütze. Hier wird wissen verschwiegen.
351,"Wenn Wahlbetrug und Regime Change nicht funktionieren, dann halt so😡"
352,Mirco Kaiser
353,Immer das gleiche Spiel: Kleine reiche Minderheiten vs. arme ausgebeutete Massen denen man das Märchen des Fleißes und ewigen Lebens nach dem Tod erzählt.
354,9mm Geschosse dürften für einen stabilen Hubschrauber doch wohl kein Problem darstellen.
355,"Wahrscheinlich ist es nicht leicht in Kolumbien, Kokainfelder zu umfliegen."
356,Hochinteressant …
357,Warum die US Regierung?
358,"Kehrt der Amerikanische Geheimdienst wieder zu den Geflogenheiten der 80/ 90 Jahre zurück, dort war ja auch die Maßgabe Südamerika zu Destabilisieren! Wer hats gemacht, die So genannten Demokraten haben es gemacht!😏"
359,"das ist ja wie bestellt! Nachdem Duque ueber 80 Demonstranten ermordet hat, hunderte von Kolumbianer verschwunden lassen hat, Frauen vergewaltigt (waehrend des nationalen Streiks), braucht er eine ""Legitimation"" fuer das blutreiche Vorgehen in seinem Land. Ein Witz die Aussage des Verteigungsmini sters. Die Regierung Duque steht fuer Terror und Drogen, und weniger fuer Demokratie."
360,"Immer wenn es US Regierung es sofort verurteilt, stecken sie meist selbst dahinter."
361,Die haben von ihrem Präsidenten die Schnauze voll das geht da drüben dann ganz schnell der muss aufpassen wenn er jemanden verärgert hat ist er bald verschwunden
362,"Liebe Community, solange keine weiteren Informationen bekannt sind, bitten wir Sie von Spekulationen abzusehen. Bitte bleiben Sie sachlich und konstruktiv - und halten Sie sich an unsere Netiquette: https:// kurz.zdf.de/ MQ6M/"
363,"Ein Mann hat in Würzburg anscheinend wahllos Passant*innen attackiert. Bei dem Messerangriff in der Innenstand sind am Freitag drei Menschen getötet worden. Es gebe zudem ""fünf weitere Schwer- und Schwerstverletz te und noch weitere Verletzte"", sagte Bayerns Innenminister Joachim Herrmann (CSU) am Abend in der unterfränkische n Stadt. Bei den sehr schwer Verletzten sei noch nicht sicher, ob alle überleben. Ein Großteil des Gebietes wurde am Nachmittag abgeriegelt. Der mutmaßliche Täter sei überwältigt und festgenommen worden, teilte die Polizei mit. Er sei bei der Festnahme durch eine Polizeikugel ins Bein getroffen worden, befinde sich aber außer Lebensgefahr. Es handelt sich den Angaben zufolge um einen 24-jährigen Somalier, der seit 2015 in Würzburg wohnt - zuletzt in einer Obdachlosenunte rkunft. Alle Entwicklungen: kurz.zdf.de/ ILIz/"
364,"Bayerns Innenminister Joachim Herrmann (CSU) betont in Würzburg den ""großartigen Einsatz"" der Polizei und der Rettungskräfte. Er hoffe, dass die lebensgefährlic h Verletzten ""das überleben"". Hintergründe zum Attentäter würden aufgeklärt. https:// kurz.zdf.de/ XRG7/"
365,"Ich wünsche den Angehörigen mein Beileid und viel Kraft! 🙏🏽 Und den Verletzten eine schnelle Genesung. Was für ein trauriger Moment.  Vielen Dank für den Einsatz, Polizei Unterfranken."
366,Mein Mitgefühl an die Hinterbliebenen und Verletzten dieser furchtbaren Attacke. Hochachtung für die mutigen Passanten die schlimmeres verhindert konnten!!!!
367,"Wenn bei einer Person eine psychische Erkrankung diagnostiziert wird, ist es nicht gut für diese Person, die Freiheit zu haben, Menschen zu töten Es tut mir leid, was heute passiert ist. Alle meine somalischen Leute sind traurig über die Ermordung unschuldiger Menschen heute😭🤦"
368,"Wann werden die Ärzte, Richter und Gutachter bestraft die so jemanden, egal welcher Nationalität auf freien Fuß lassen"
369,"Zahlreiche Menschen haben sich in Würzburg mit Schirmen,Stühle oder Taschen den Täter entgegengestell t.Ich würde gerne über diese Helden mit Migrationshinte rgrund reden,anstatt menschenveracht enden Müll lesen,weil der Täter nicht wie Hans - Günther aussah.  Ich denke an die Opfer, an ihre Familien, an alle, die die furchtbare Tat miterlebt haben. Den Verletzten wünsche ich eine schnelle und volle Genesung. Mein großer Dank gilt allen Einsatzkräften und den mutigen Menschen für ihr Eingreifen."
370,Klar wird wieder alles auf die Psyche geschoben und entschuldigt. Täter bekommt bestimmt einen Psychiater
371,Traurig😥😥 Mein Mitgefühl den Opfern und deren Angehörigen . Den Schwerverltzen wünsche ich eine schnelle Genesung🙏🙏 . Vielen Dank an alle Passanten die eingegriffen haben .
372,"Jetzt muß ich vorsichtig sein was ich dazu kommentiere. Laut einem Newsticker soll es sich also um einen 24 jährigen Somalier handeln, dem sein Asylantrag abgelehnt worden war und daraufhin in einem Kaufhaus wahllos mit einem Messer auf Menschen losging und drei tötete. Wann hören diese Alpträume endlich auf? Vermutlich nie. Vor ein paar Jahren die Tat in Frankfurt, wo ein Kind auf die Gleise geschubst wurde, und jetzt dies. Und wieder hieß es, daß er psychisch krank war. Und wieder heißt es, daß er polizeibekannt war weil er schon durch Gewalttaten auffiel ( laut Innenminister Herrmann ). Und wieder wurde nichts unternommen! Ich hab echt so langsam die Schnauze voll. Es reicht! Wieder müssen Angehörige ( u.a. ein Kind verlor dabei seinen Vater ) um einen lieben Menschen trauern. Unfaßbar. Mein tiefes Mitgefühl dazu."
373,"Laut Mitteilung des Innenministers sind von diesem Somalia hauptsächlich Frauen angegriffen worden und unter den Todesopfern ein Junge. Ich finde es unglaublich, dass so etwas nicht mehr erwähnt wird. Damals als das Kind vor einen Zug geworfen wurde, vor den Augen der Mutter, ging man auch schnell zur Tagesordnung über. Nun auch? Vor 2015 hatten wir solche Vorfälle nicht. Diese Vorfälle haben wir importiert. Aber Hauptsache wir sind bunt, wedeln mit bunten Fähnchen und schreien black lives matter. Wir sollten wohl alle noch auf die Knie fallen vor dem armen angeschossenen Somalier. Man könnte ich kotzen. Ich bin gespannt auf Aussagen von Merkel, Steinmeier, Maas und Konsorten. Treten die diesmal den Angehörigen gegenüber? Wohl kaum."
374,"Denken wir zunächst einfach an die unschuldigen Opfer und hoffen, dass alle, die in ein Krankenhaus mussten, schnell wieder gesund werden. 😢. Wie verwirrt muss jemand sein, um so etwas zu tun. Den Familien der Opfer wünsche ich viel Kraft in dieser dunklen Stunde."
375,"Großen Respekt an alle, die da geholfen haben! Viel Kraft den Angehörigen der Verstorbenen."
376,"Eine so schreckliche Nachricht. Als Somalier, der in Deutschland lebt, möchte ich deutlich machen, dass wir diesen Anschlag aufs Schärfste verurteilen. Mein tiefes Mitgefühl geht an die Familien der Opfer. Immer wieder tief trauern wir um den Verlust dieser geliebten Menschen. Den Verletzten wünsche ich baldige Genesung.😢🤲"
377,"Eigenartig, man weiß nichts über den Täter aber es wird behauptet das er psychisch krank ist. Es ist unglaublich wie mal wieder alles verniedlicht und verharmlost wird. Fakt ist, solche gut ausgebildeten Kämpfer sind hier herzlich willkommen und werden vom Steuerzahler ausgehalten. Laut Aussage von Frau Merkel ist es eh ein Einzelfall wo wir mit leben müssen. Die Grünen erwarten Toleranz und Anpassung an deren Lebensweise und Religion. Also, keine Vorurteile bitte sondern Verständnis."
378,"Einfach nur schrecklich. Mein Mitgefühl gehört den Angehörigen der Opfer, den Verletzten, Ersthelfern und Augenzeugen. Ihnen allen wünsche ich viel Kraft und liebe Menschen, um diese schreckliche Tat irgendwie zu verarbeiten."
379,"Mein Mitgefühl gilt den Angehörigen der Opfer und den Verletzten. Vielen Dank den beherzten Menschen, die vielen offensichtlich das Leben gerettet haben. Wieso der auf freiem Fuß war, muss mal jemand erklären. Falls das mit der stationären Behandlung stimmt. Wie emphatielos die blaue Gruppierung den Opfern gegenüber ist, kann man sich in den Kommentaren betrachten. Dumme Sprüche auf Kosten der Opfer."
380,Völlig unwahre Berichterstattu ng 🤮
381,War ja klar! Immer das gleiche Täterprofil! Die sollte man ALLE wegsperren!!!1! 11!!! 😠 Schon wieder war es... ein MANN!
382,"Das sind wohl die Kollarteralschä den, die in Kauf genommen werden, hin zu einer ,,bunten"" Gesellschaft."
383,"Warum wird nicht rechtzeitig reagiert und einem Mann, der gewaltbereit auffällt, sofort ein Therapieplatz in einer geschlossenen Psychiatrie angeboten? Mit Opfern konnte man rechnen. Ihr Schutz sollte Priorität haben, bestenfalls bevor es zur Tat kommt."
384,"Ungarn, Polen und Slowenien machen es schon richtig...."
385,Das haben wir jetzt von der Politik der Bummelabschiebu ngen die hier schon jahrelang Praktiziert wird... Also ist jede Empörung völlig fehl am Platze. Die Zustände sind Politisch genau so gewollt..
386,"Na klar, wieder geistig umnachtet und auffällig, war ja klar...."
387,"Interessant: Kurz nach der Tat weiß Herrmann, dass der Täter psychisch vorbelastet ist. Woher nimmt er diese Erkenntnis ?"
388,Was hat der hier noch zu suchen gehabt?!!!! Sein Asyl wurde vor Jahren abgelehnt. Man muss das nicht verstehen. In solchen Fällen muss der deutsche Staat viel schneller und härter Handeln.
389,"Unglaublich! Meine Gedanken sind bei den Angehörigen der Opfer! Danke an alle Passanten, die eingegriffen haben!"
390,"Ich will nicht wissen, wieviele ausgebildete Kämpfer in unserem Land leben und von uns Steuerzahler finanziert werden. Ihm wird nix passieren, schließlich ist er psychisch krank, wie all die vielen,vielen Fälle zuvor ! Einfach schrecklich, was da passiert !!!"
391,"Wenn die psychische Erkrankung des abgelehnten Asylbewerbers bekannt war ,ist es verwunderlich, dass von den verantwortliche n Institutionen keine Massnahmen getroffen wurden ,um die Bevölkerung vor dieser Person zu schützen. Eine sofortige Abschiebung wäre in einem solchen Fall wünschenswert. Nun hat diese Person Leid über viele Familien gebracht und belastet die Allgemeinheit (Steuerzahler)."
392,"Liebe Community, solange keine weiteren Informationen bekannt sind, bitten wir Sie von Spekulationen abzusehen. Bitte bleiben Sie sachlich und konstruktiv - und halten Sie sich an unsere Netiquette: https://kurz.zdf.de/MQ6M/"
393,"Der Hintergrund: Ein Mann hat in Würzburg wahllos Passanten attackiert und dabei drei Menschen getötet, mehrere wurden verletzt, einige auch schwer. Was wir bereits wissen: https://kurz.zdf.de/0njNT/"
394,"Der mutmaßliche Täter sei überwältigt und festgenommen worden, teilte die Polizei mit. Er sei bei der Festnahme durch eine Polizeikugel ins Bein getroffen worden, befinde sich aber außer Lebensgefahr. Es handelt sich den Angaben zufolge um einen 24-jährigen Somalier, der seit 2015 in Würzburg wohnt - zuletzt in einer Obdachlosenunterkunft.  Laut Bayerns Innenminister Herrmann gibt es Indizien dafür, dass es sich um einen islamistischen Anschlag handeln könnte."
395,"Warum bei solchen Meldungen immer die Herkunft des Täters priorisiert wird, ist echt nicht zu verstehen. Hauptsache mal hetzen. Dabei sollte man mehr Anteilnahme und Mitgefühl zeigen mit den Betroffenen. Mein Beileid den Angehörigen der Opfer und den Verletzten eine baldige Besserung."
396,"Es haben hier unabhängig von Herkunft, Religion couragierte Menschen eingegriffen und so zum baldigen Erfassen des Täters beigetragen. Danke 🙏Pray für die Opfer, Angehörigen, Rettungskräften, Polizei, allen die dies nun erst verarbeiten müssen."
397,"Wie schrecklich. Mein tiefstes Mitgefühl gilt allen Angehörigen der Opfer, den Verletzten wünsche ich baldige Genesung. #ichbinhier"
398,"mal eine Frage Ihr ZDF‘ler:innen  Wer die Wahrheit wissen will, liest die ausländische Presse und schaut ausländisches Fernsehen !  Man könnte es auch „Westfernsehen“ nennen !   Schämt Ihr Euch garnicht ?"
399,Ich wünsche allen Angehörigen viel Kraft. Gute Besserung allen Verletzten. Und mit der Bitte nicht alle Menschen die vor Krieg und Vertreibung geflohen sind mitschuldig zu machen.
400,"Es wird unerträglich.. Allen Angehörigen der sinnlos getöteten und verletzten Menschen meine tiefe Anteilnahme. Allen Menschen die mit Mut zur Zivilcourage  eingegriffen haben Respekt und Ehre! Zeit, dass es die Bürger verstehen, es muss sich politisch dringend etwas ändern, mit Lippen Bekenntnissen und Beileidsbekundungen ist es nicht mehr getan!!"
401,"Ich bin einfach nur traurig und wütend  Wie sagte Katrin Göring Eckardt Unser Land wird sich drastisch verändern und ich freu mich drauf. Gratuliere Frau Göring Eckardt sie haben ins schwarze getroffen. Erzählen sie den Spruch  mal vor den Angehörigen und den Hinterbliebenen. Den Opfern, Angehörigen und Hinterbliebenen wünsche ich viel Kraft und den Schwerverletzten eine baldige und nachhaltige gute Besserung  🙏❤️🙏"
402,"Der 45-Jährige Chauvin war Ende April von Geschworenen unter anderem wegen Mordes zweiten Grades schuldig gesprochen worden. Nach deutschem Recht entspräche dies eher Totschlag. Die Verteidigung hatte eine Bewährungsstraf e für Chauvin gefordert, die Staatsanwaltsch aft dagegen 30 Jahre Haft."
403,"Unverhältnismäß ig hohe Strafe, wenn man den Fall objektiv betrachtet. Totschlag als Ersttäter wird normalerweise in den USA bestenfalls mit 10 bis 12 Jahren geahndet. 10 Jahre zusätzlich gab es jetzt offenbar aus politischen Gründen."
404,Unzureichend. Die Strafe ist ja mild für die Tat.
405,"Mal sehen, ob er die gesamte Zeit schafft 😛"
406,"Ich habe gelesen dass George-Floyd ein Mehrfachstraftä ter war, der sich seiner Festnahme widersetzte. Nun ist er zum Märtyrer der ganzen US-Nation und darüber hinaus aufgestiegen. Das Ergebnis ist genau das was man wollte."
407,"22,5 Jahre sind 22,5 Jahre zu viel für Eigensicherung vor einem einschlägig bekannten Gewalttäter. Genau solche Einsätze sind es, die Polizisten das Leben kosten, wenn die Polizisten die Eigensicherung vernachlässigen ."
408,Nicht lange genug! Aus meiner Sicht vorsätzlicher Mord
409,Die Kommentare sind fast allesamt bedenklich!
410,Die Strafe hätte höher ausfallen müssen! Der Mann hat ihm mehrmals bestätigt keine Luft zu bekommen und es wurde ignoriert. Und sowas ist Mord. Ich gehe aber stark davon aus das er die Haft nicht überleben wird wenn im Knast zuviel schwarze sind haben die das ja auch alles mitbekommen.... dann blüht ihn denk ich mal das selbe Schicksal
411,"Gott sei Dank hat so ein rassistischer Mord überhaupt mal Konsequenzen für den Mörder. Danke an alle, die zur Aufklärung beigetragen haben."
412,"22,5 Jahre sind eine lange Zeit. Der Gerechtigkeit wurde Genüge getan."
413,"Er hat diese hohe Strafe nur bekommen, weil sonst gewaltige Unruhen u. Gewalttaten aufgetreten wären. Man darf nicht vergessen, daß Opfer war nicht gerade ein Unschuldslamm."
414,Jeder andere hätte 30 und mehr Jahre erhalten😡
415,Für mich war es Mord. Ganz klar. Der hat das billigend in kauf genommen.
416,"Nicht zu vergessen,  Colin Kaepernick (NFL) kniete nieder, weil Leute wie Derek Chauvin auf Menschen knien."
